Suburb Name,Zone Name,Suburb Postcode
KURUNJANG,Ballarat,3337
MELTON,Ballarat,3337
MELTON WEST,Ballarat,3337
HARKNESS,Ballarat,3337
MELTON,Ballarat,3337
BROOKFIELD,Ballarat,3338
COBBLEBANK,Ballarat,3338
EYNESBURY,Ballarat,3338
MELTON SOUTH,Ballarat,3338
WEIR VIEWS,Ballarat,3338
STRATHTULLOH,Ballarat,3338
BACCHUS MARSH,Ballarat,3340
MADDINGLEY,Ballarat,3340
BALLIANG,Ballarat,3340
DARLEY,Ballarat,3340
DARLEY,Ballarat,3340
HOPETOUN PARK,Ballarat,3340
BACCHUS MARSH,Ballarat,3340
BALLAN,Ballarat,3342
ALFREDTON,Ballarat,3350
BALLARAT,Ballarat,3350
BALLARAT CENTRAL,Ballarat,3350
BALLARAT NORTH,Ballarat,3350
BLACK HILL,Ballarat,3350
BROWN HILL,Ballarat,3350
CANADIAN,Ballarat,3350
GOLDEN POINT,Ballarat,3350
INVERMAY PARK,Ballarat,3350
LAKE WENDOUREE,Ballarat,3350
MOUNT HELEN,Ballarat,3350
MOUNT PLEASANT,Ballarat,3350
MR HELEN,Ballarat,3350
SOLDIERS HILL,Ballarat,3350
BALLARAT,Ballarat,3350
BALLARAT EAST,Ballarat,3350
MOUNT CLEAR,Ballarat,3350
REDAN,Ballarat,3350
NERRINA,Ballarat,3350
LUCAS,Ballarat,3350
BLACK HILL,Ballarat,3350
NEWINGTON,Ballarat,3350
WENDOUREE,Ballarat,3355
LAKE GARDENS,Ballarat,3355
DELACOMBE,Ballarat,3356
SEBASTOPOL,Ballarat,3356
Delacombe,Ballarat,3356
DIGGERS REST,Ballarat,3427
GISBORNE,Ballarat,3437
GISBORNE SOUTH,Ballarat,3437
GISBORNE,Ballarat,3437
GIBORNE,Ballarat,3437
NEW GISBORNE,Ballarat,3438
NEWHAM,Ballarat,3442
WOODEND,Ballarat,3442
WOODEND NORTH,Ballarat,3442
CARLSRUHE,Ballarat,3442
DAYLESFORD,Ballarat,3460
CRESWICK,Ballarat,3363
RIDDELLS CREEK,Ballarat,3431
RIDDELLS CREEK,Ballarat,3431
MACEDON,Ballarat,3440
TRENTHAM,Ballarat,3458
NEWBURY,Ballarat,3458
Diggers Rest,BENDIGO,3427
Bulla,BENDIGO,3428
Sunbury,BENDIGO,3429
Wildwood,BENDIGO,3429
Riddells Creek,BENDIGO,3431
Cherokee,BENDIGO,3434
Kerrie,BENDIGO,3434
Romsey,BENDIGO,3434
Lancefield,BENDIGO,3435
Gisborne,BENDIGO,3437
Gisborne South,BENDIGO,3437
Macedon,BENDIGO,3440
Mount Macedon,BENDIGO,3441
Hesket,BENDIGO,3442
Woodend,BENDIGO,3442
Woodend North,BENDIGO,3442
Kyneton,BENDIGO,3444
Tylden,BENDIGO,3444
Malmsbury,BENDIGO,3446
Taradale,BENDIGO,3447
Elphinstone,BENDIGO,3448
Castlemaine,BENDIGO,3450
Chewton,BENDIGO,3451
Harcourt,BENDIGO,3453
Ravenswood,BENDIGO,3453
Harcourt,BENDIGO,3453
Maldon,BENDIGO,3463
Marong,BENDIGO,3515
Bendigo,BENDIGO,3550
Flora Hill,BENDIGO,3550
Ironbark,BENDIGO,3550
Kennington,BENDIGO,3550
Long Gully,BENDIGO,3550
North Bendigo,BENDIGO,3550
North Bendigo,BENDIGO,3550
Quarry Hill,BENDIGO,3550
Strathdale,BENDIGO,3550
White Hills,BENDIGO,3550
Epsom,BENDIGO,3551
Maiden Gully,BENDIGO,3551
Strathfieldsaye,BENDIGO,3551
Big Hill,BENDIGO,3555
Golden Gully,BENDIGO,3555
Golden Square,BENDIGO,3555
Kangaroo Flat,BENDIGO,3555
California Gully,BENDIGO,3556
Eaglehawk,BENDIGO,3556
Sailors Gully,BENDIGO,3556
GLENBROOK,BLUE MOUNTAINS,2773
LAPSTONE,BLUE MOUNTAINS,2773
BLAXLAND,BLUE MOUNTAINS,2774
MOUNT RIVERVIEW,BLUE MOUNTAINS,2774
WARRIMOO,BLUE MOUNTAINS,2774
BLAXLAND EAST,BLUE MOUNTAINS,2774
FAULCONBRIDGE,BLUE MOUNTAINS,2776
VALLEY HEIGHTS,BLUE MOUNTAINS,2777
HAWKESBURY HEIGHTS,BLUE MOUNTAINS,2777
SUN VALLEY,BLUE MOUNTAINS,2777
WINMALEE,BLUE MOUNTAINS,2777
YELLOW ROCK,BLUE MOUNTAINS,2777
HAZELBROOK,BLUE MOUNTAINS,2779
KATOOMBA,BLUE MOUNTAINS,2780
LEURA,BLUE MOUNTAINS,2780
WENTWORTH FALLS,BLUE MOUNTAINS,2782
LAWSON,BLUE MOUNTAINS,2783
BLACKHEATH,BLUE MOUNTAINS,2785
MOUNT VICTORIA,BLUE MOUNTAINS,2786
HARTLEY,BLUE MOUNTAINS,2790
LIDSDALE,BLUE MOUNTAINS,2790
LITHGOW,BLUE MOUNTAINS,2790
MARRANGAROO,BLUE MOUNTAINS,2790
BOWENFELS,BLUE MOUNTAINS,2790
LITTLETON,BLUE MOUNTAINS,2790
MCKELLARS PARK,BLUE MOUNTAINS,2790
SOUTH BOWENFELS,BLUE MOUNTAINS,2790
Pick Pack,Brisbane,1003
BRISBANE,Brisbane,4000
BRISBANE CITY,Brisbane,4000
Spring Hill,Brisbane,4000
PETRIE TERRACE,Brisbane,4000
NEW FARM,Brisbane,4005
NEWSTEAD,Brisbane,4005
TENERIFFE,Brisbane,4005
UPPER KEDRON,Brisbane,4005
FORTITUDE VALLEY,Brisbane,4006
Bowen Hills,Brisbane,4006
Ascot,Brisbane,4007
Hamilton,Brisbane,4007
Pinkenba,Brisbane,4008
Brisbane Airport,Brisbane,4009
EAGLE FARM,Brisbane,4009
PINKENBA,Brisbane,4009
ALBION,Brisbane,4010
CLAYFIELD,Brisbane,4011
HENDRA,Brisbane,4011
NUNDAH,Brisbane,4012
WAVELL HEIGHTS,Brisbane,4012
NORTHGATE,Brisbane,4013
BANYO,Brisbane,4014
NUDGEE,Brisbane,4014
VIRGINIA,Brisbane,4014
